Cohort,Settlement.Date,Family,Facility,Tank,TaskID,Inventory.Date,Age.Month,Total.Animals,Mean.Size
2019,8/21/2019,OR94 X OR74,MCR,C36,Inventory_1,2/19/2020,5,4,2.425
2019,8/21/2019,OR94 X OR74,MCR,C37,Inventory_1,2/19/2020,5,8,3.325
2019,8/21/2019,OR94 X OR74,MCR,C39,Inventory_1,2/19/2020,5,31,2.411
2019,7/3/2019,OR65 X GR08,MCR,B06,Inventory_2,2/26/2020,7,51,9.927
2019,7/3/2019,OR65 X GR08,MCR,B08,Inventory_2,2/26/2020,7,384,4.547
2019,7/3/2019,"OR65, OR62, OR67 X GR05",MCR,B10,Inventory_2,2/26/2020,7,70,8.107
2019,7/3/2019,OR67 X GR08,MCR,B01,Inventory_2,2/26/2020,7,192,6.18
2019,7/3/2019,OR67 X GR08,MCR,B02,Inventory_2,2/26/2020,7,53,8.91
2019,7/3/2019,OR67 X GR08,MCR,B03,Inventory_2,2/26/2020,7,1081,2.5
2019,7/3/2019,OR96 X GR05,MCR,B09,Inventory_2,2/26/2020,7,83,7.087
2019,7/3/2019,OR96 X GR08,MCR,B16,Inventory_2,2/27/2020,7,184,7.58
2019,7/3/2019,OR96 X GR08,MCR,B17,Inventory_2,2/27/2020,7,262,4.95
2019,7/3/2019,OR96 X GR08,MCR,B19,Inventory_2,2/27/2020,7,902,2.64
2019,9/10/2019,OR68 X OR45,MCR,B12,Inventory_1,3/9/2020,5,16,3.481
2019,9/10/2019,OR68 X OR45,MCR,B23,Inventory_1,3/9/2020,5,3,4.733
2019,9/10/2019,OR68 X OR57,MCR,B31,Inventory_1,3/9/2020,5,74,4.467
2019,9/10/2019,OR68 X OR57,MCR,B32,Inventory_1,3/9/2020,5,954,2.887
2019,9/10/2019,GR14 X OR57,MCR,D06,Inventory_1,3/9/2020,5,84,2.4
2019,9/10/2019,GR14 X OR45,MCR,D07,Inventory_1,3/9/2020,5,39,2.26
2019,9/10/2019,GR14 X OR57,MCR,D12,Inventory_1,3/9/2020,5,74,2.58
2019,9/10/2019,GR14 X OR45,MCR,D18,Inventory_1,3/9/2020,5,1468,3.007
2019,5/30/2019,OR94 X OR97,MCR,B18,Inventory_3,4/6/2020,10,68,10.74
